text,etiket
"sevgili dostum yolculuğa çıkmadan önce x adlı bir romanda ilgili sayfayı açmış ve kendi meramına karşılık gelen satırları kırmızı kalemle çizmiş ve sayfayı açık bırakmış, pink floyd : goodbye cruelworld çalarken banyoya girmiş kapıyı kilitlemiş, kuvete yatmış, babasının silahını kafasına sıkmış halde bulunmuştu.güle güle.....",intihara meyilli
hepinizin amına koyim rahat edin yokum artık,intihara meyilli
"ey, iki adımlık yerküre senin bütün arka bahçelerini gördüm ben",intihara meyilli
keşke biriniz 'yapma' deseydi...,intihara meyilli
kalbim yaralı.. ruhum yaralı.. oysa ki sadece mutlu olmak istemiştim.. bunca acı niye? neden? acı çekmekten çok yoruldum. bitsin istiyorum. bu çektiğim acı artık dinsin istiyorum.,intihara meyilli
"son dakikalarım da biraz da olsun üzülmeyin diye size bir mektup yazıyorum, bu hayat kötü insanlar kötü, yaşamak için bir zevkim kalmadı lütfen beni yargılamayın, psikolojim bozuk değil kendi ölümümü kendim seçiyorum, mutlu değilim olmaya çok çalıştım ama hep geri tepti beni hayat umarım benim yokluğumda hayat birilerini mutlu eder görüşürüz hayat, görüşürüz ailem, görüşürüz sözlük, görüşürüz aşık olduğum kişi görüşürüz... (intihar edeceksem arkamda bırakacağım not budur)",intihara meyilli
"yokluğum, varlığıma armağan olsun.",intihara meyilli
"Sessiz geceler
İntihar saatleri
Korkuyorum gülüm
Sabah olmuyor
Göğsüm daralır
Çıldırır gibiyim
Bakma böyle durduğuma
Sensiz iyi değilim
Verdiğin teselliler beni avutmuyor
Sensiz gecelerim intihara meyilli
Gündüzler de gecelerimi aratmıyor
Gönlümde kahperengi bir keder gizli
Verdiğin teselliler beni avutmuyor
Sensiz gecelerim intihara meyilli
Gündüzler de gecelerimi aratmıyor
Gönlümde kahperengi bir keder gizli",intihara meyilli
"İntiharlı düşler yetiştirdim, dört tarafı acı parçasına dönmüş vücudumda.",intihara meyilli
Bazen günün sonunda bir insanın başardığı en büyük şey intihar etmemiş olmasıdır.,intihara meyilli
"Desinler ki, küçücük kalbine dünya ağır geldi.",intihara meyilli
"Bir de fiziksel olmayan intihar var ki, cenazen mezarlıkta değil, kafanın içinde.
",intihara meyilli
Hala birileri yaşamayı nefes almak sanıyor ve hala birileri ölmeyi mezara girmek sanıyor.,intihara meyilli
"Herkesin yorulduğu bir yer vardır, ben bittiğim yerdeyim.",intihara meyilli
Çok şey anlatmak istiyorum ama hiç konuşmadan.,intihara meyilli
Sonumu getirenlere teşekkür ederim diyerek veda etmek istiyorum.,intihara meyilli
Bir gün vedasızca terk edersem bu dünyayı bilinsin ki herkese çok kırgınım.,intihara meyilli
"Yağmur olmak var şimdi, usul usul toprağa karışmak sessizce! Aslında sessizlik, en güzel sestir duyabilene ve anlayabilene... Artık birazda sessizliğim konuşsun diyorum kendime.",intihara meyilli
"Bazı intiharlar ruhsaldır, gömemezsin!",intihara meyilli
"Ağlamayın, içim ölüydü zaten benim. Gözlerimi kapatacağım sadece.",intihara meyilli
"Bizim taburemize tekmeyi vuranlar hep en güvendiklerimiz oldu. Biz intihar etmedik, imtihan edildik.",intihara meyilli
"Eğer bir gün ölürsem, tabutum geniş olsun. Çünkü bu dünyada ufacık bir yere sığdıramadınız beni.",intihara meyilli
Çok düşünmek bir çeşit intihardır.,intihara meyilli
"Tek parça geldim dünyaya, gidiyorum paramparça.",intihara meyilli
Belki de insan en çok ölüme yakın olduğunda kendini yorgun hissediyordu. Ve ben daha birinci satırda bile çok yorgundum.,intihara meyilli
"İntihar notuna yazılacak tek cümle, bu ilk ölüşüm değil!",intihara meyilli
Üstüme gelme be hayat! Zaten kefeni giymeye bahane arıyor bu beden!,intihara meyilli
"İçim intihar etti, bedenim ne zaman pes edecek merak ediyorum.",intihara meyilli
Yazdıklarımı boşver. Yazamadıklarım cinayete sürükler.,intihara meyilli
Daracağında ipime aşık olmuş gibiyim.,intihara meyilli
İntihar etmekle bir şey mi. Sen hiç umudunu kaybetmiş birini gördün mü?,intihara meyilli
Bakmayın güldüğümüze kardeş; içimizdekileri görseniz intihar edersiniz.,intihara meyilli
"Derdime bir gün ortak olmayan, iyi günüme heveslenmesin. Kursağında kalır!",intihara meyilli
"Öyle çok yoruldum ki, kalbim bir yerde dursa da dinlensem...",intihara meyilli
"Hayat sınavında iki şık arasın da kaldım; ya her şeye inat yaşayacağım, yada bu hayatı sonlandıracağım!",intihara meyilli
"İntihar haram dediler, biz de yüzümüzü astık.",intihara meyilli
Gerçek şu ki; kocaman gülmelerin arkasında intihar edenleriz biz.,intihara meyilli
"Sussam intihar, konuşsan cinayet.",intihara meyilli
"Oturup iki dakika kafamı yaşasan, üçüncü dakika intihara bağlarsın.",intihara meyilli
"İyiyim ben. Ara sıra mahşer, ara sıra yaşama hırsı.",intihara meyilli
"Ne güzel bir intihar yöntemi, şimdi seninle göz göze gelmek.",intihara meyilli
"İlla intihar edeceksek, bilekleri boşver, irtibatı keselim.",intihara meyilli
"hatalarımla kapatıyorum gözlerimi hayata bitiyor bir gencin hikayeside bu dünyada, gidiyorum elveda tüm yaşayanlara.",intihara meyilli
güne başlamak istemiyorum artık bunaldı ruhum daraldı hayatım azad etmek istiyorum ruhumu sonsuz özgürlüğe belki mutlu olurum öLdüğümde.,intihara meyilli
"Yoruldum artık, atma kalbim.",intihara meyilli
"İntihar gibisin! Hem cesaret edilemeyen, hem de herkes tarafından en az bir kere düşünülen ve ben hiç düşünmedim denilen! İşte öyle güzelsin!",intihara meyilli
Ne ikna edici bir intihar girişimidir. Şimdi senle göz göze gelmek.,intihara meyilli
zamanı geriye döndürmek isterdim gözlerine bakmak isterdim gözlerini düşününce hayata gülerdim şimdi gözlerin intihar mavisi oldu mavi gözlerin beni hayattan soğuttu!,intihara meyilli
acı çekiyor bedenim dayanamıyor yüreğim sensizlik bıktırdı beni hayattan intiharlarımı yazdım sil baştan.,intihara meyilli
"Sen dedi, 'İntihar gibisin.' hem cesaret edilemeyen hem de herkes tarafından en az bir kere düşünülen... İşte öyle güzelsin.",intihara meyilli
"Hayatın bir suçu yok, o benden daha iyilerine layık.",intihara meyilli
Beyaz Ve Mutlu bir dünya istiyorum intihar düşüncelerimi hayal ediyorum beyaz ve güzel yalansız ve tek gerçek.,intihara meyilli
Düşündükçe Gelir Aklıma Anılarımız Halime Bakıp Ağlarım intihar Sebebim Anılarımız,intihara meyilli
Bir intihar girişimini ihbar edecektim! Çünkü birazdan seni düşüneceğim.,intihara meyilli
Seni Hayata Bağlanmak için sevdim şimdi hayattan kopraıyorsun beni intihar düşüncelerimin tek sahibisin.,intihara meyilli
Vefasız Zamanlarım Vefasız Dostlarım Elveda hepinize bu son intiharım,intihara meyilli
"Kurumuş hayatım yeşermiyor, ağlamak istiyorum gözlerimden yaş gelmiyor, kuruyup bittim hayatta intihar etsemde koymaz bana.",intihara meyilli
"gözlerim artık hayata öLü bakıyor mesajlarım içimde dökülüyor kalbim ise atmayı unuttu, intihar sebebim çok, bana mutlu olmak yok.",intihara meyilli
Seninle Yaşadığım Günleri Hatırlayıp Ağlarım gecenin Kör karanlığımda intiharlarımı Ararım.,intihara meyilli
Ezan sesleri duyulmaya başladığında anladım ne kadar geç kaldığımı her şeye.,intihara meyilli
Nereye gidiyorsun deme bana Senden çok uzağa gidiyorum fakat herzaman yanında olucağım elveda.,intihara meyilli
Sadece sevilmek istemiştim,intihara meyilli
Belki de benim intikamim benin yokluğum la olucak,intihara meyilli
sadece yoruldum...,intihara meyilli
Zor bela Hayatta sağdı ama onun içini öldürdüler umut ışıklarını söndürdüler bir hevesdi geçti beni benden etti aldı dünya malı dünyada kaldı baktım olmuyor yaşamakla yüreğim dolmuş acılarla ben çok sevdim olmadı kader bize gülmedi kaderi batsın bizi yerden yere vurdu rüzgar bizi göklere savurdu bir uçurum misali düştük biz hayata küstük şimdi bırakın beni adımı anmayın acılar diner ömür biter,intihara meyilli
"ölecek biri intihar sadece fiziksel degil ruhen de olabilir. intihar sadece fiziksel bütünlüge son vermek degildir. yasami ve yasamayi aklimsa bitirmeside intihardir. asla yaninda olamayacagin birine asik olmak gibi seylerde intihardir. ölecek biri sus derdin anne simdi susucam sonsuza kadar merak etme ? Hayatın başlangıcı ve sonu vardır. Herkesin kaçtığı sonu kolları açık karşılıyorum Hiçbiri Sorunlarımı anlatmanın iki yolu vardı, kolayı ölmek, zoru anlatıp anlaşılmamaktı. Bende kolayı seçeceğim. Agit Yaşadıklarım ağır geldi Bende öbür dünyayı terci ettim mutsuzzz hayattan nefret ediyorumm...",intihara meyilli
Bana hep çenemi kapatmami söylemiştin anne şimdi sonsuza dek kapatiyorum kimsenin sevmedigi yada sevilmedigi bir dünyada sevilmeyi istediğim için üzgünüm kendinizle gurur duyun başardınız benide öldürdünüz ben zaten ölüydum sahte göz yaşlarınızin mezarimi kirletmesini istemiyorum.. Görüşmemek üzere,intihara meyilli
Bu bir son değildi..Bu bir başlangıçtı.. Kurtuluşumun..Sadece yaşamak istemiştim olmadı..,intihara meyilli
İyi bir insan olamadım kimse tarafından sevilmedim Ruh'um çok yoruldu artık terk etmek istiyor bedenimi,intihara meyilli
"Yağmur yağıyordu fakat, çiçek çoktan kurumuştu Belkidd gitmek istiyor... Ben sadece beden olarak burdayım ama ruhum hep ölüydü..",intihara meyilli
Gerçek şu ki; kocaman gülmelerin arkasında intihar edenleriz biz.,intihara meyilli
İntihar etdim.... Ve hala hayatdayım. Çokta pişmanım hayatda olduğum için...,intihara meyilli
İnsanların sözleri... Beni her gün öldürüyorlar...,intihara meyilli
her gece yastıga başıma koydugumda gürültüden uyuyamıyordum oysaki dışarda hiç ses yoktu..,intihara meyilli
Keşke ölseydim dediğinizde aslında yaşamaya başlarsınız ama gerçekleri.,intihara meyilli
Ölü İmtihan imtihan da hep mi üzülüp ölümlerden ölüm beğenicez.,intihara meyilli
Eğer beni birgün çok özlersen bilki kavuşamadığım ben gözlerinin daldığı her yerdeyim,intihara meyilli
Hayatın her gununu dolu dolu yasamak istemisdim sadece.Ama dünyaya ağır geldim,intihara meyilli
Bazen sadece ölmek istersin hiç bir şey düşünmeden sadece gitmek istersin buralardan,intihara meyilli
HER ANINIZ VE HER ADIMINIZI ÖLÜMLE DOLU BİNBİR TÜRLÜ ÖLÜMLERE,intihara meyilli
"Benim ışığım söndü daha ne olsun... meryemm İçimdeki güller soldu artık , vakit daralıyor , ruhum ağır geliyor bedenime vakti gelmiş olmalı",intihara meyilli
Şuurumu kaaybedip büyük günaha gitmekten korkuyorum bu kadar borc allahim nolur yardim et,intihara meyilli
Şimdi ölüm beni kıskansın para kaygısı gelecek kaygısı aile kaygısı korku kimsenin seni umursamamasi 32 yaşındayım ve başımı yastığa huzurla koyduğum bir günü hatırlamıyorum çocukluğum dışında ki ondandada hep bi kosturmaca calisma ihtiyaci para sıkıntısı vardi ben gitmeye karar verdim...,intihara meyilli
olmuyor bazen hiç bir şey loser bu ara o kadar keyifsizim ki hayattan tek beklentim günün bitmesi,intihara meyilli
intihar etme düşüncesi gibisin yar çıkmıyor sun aklımdan ikiniz savas içindesiniz hanginiz kazanacak acaba,intihara meyilli
"Bir insan sevdiği kişinin onu sevmediğini bile bile onunla hala beraber olup her gün ona yeniden aşık olurmu? ""Olur"" peki yaa sen ölüceğini bile bile hala hayata neden duruyorsun ...?",intihara meyilli
Şu anki intihar düşüncesi peki,intihara meyilli
"Ölümün bizi nerede beklediği belli değil, iyisi mi biz onu her yerde bekleyelim.",intihara meyilli
Yazabilecek kadar cesareti olmalı insanın intihar ederken bile .....,intihara meyilli
aklınıza geldiğimde gökyüzüne bakın orda olacağım...,intihara meyilli
sana gelen yolun sonu uçurumdu bende aslanlar gibi intihar ettim,intihara meyilli
Günah olmasaydı çoktan gitmiştim..,intihara meyilli
aslında ailem sevmezdi beni bende toprağa güvenip bıraktım kendimi boşluğa ne varki bunda,intihara meyilli
Düşüncelerimi ayaklarım ne kadar taşıya bilir bilmiyorum,intihara meyilli
NTİHAR EDEN İNSANLAR GERİDE SADECE BÜYÜK ACI ÖFKE VE MAHVOLMUŞ İNSANLAR BIRAKIRLAR İNTİHARIN ADINI ÖZGÜR İRADE KOYMUŞLAR YA GERİDE KALAN TÜM HAYAT PLANLARINI YARINLARINI UMUTLARINI YOK ETTİĞİN ANNE BABA KARDEŞ EŞ ÇOCUK VS. İNSANLARIN ÖMÜR BOYU MEZARA KADAR ÇEKECEKLERİ ACININ ADINI NE KOYMUŞLAR ? BİLEN VAR MI ? İNSANLARIN İÇİNDEKİ TANRISAL MERHAMETİN GÜCÜN ADI VİCDAN DIR. SENİN SORUNUNA SEN İSTERSEN KESİNLİKLE ÇÖZÜM VARDIR AMA İNTİHAR EDERSEN GERİDE KALANLARA HİÇ BİR ŞANS KALMAZ. İÇİNDEKİ TANRISAL MERHAMETİNİ KEŞFET VE BİR KERE VİCDAN MUHASEBESİ YAP. HİÇ KİMSENİN HAYATINI GELECEĞİNİ MAHVETME. Yaşar CEZALARIN EN BÜYÜĞÜ!!! İNTİHAR EDEN BİR İNSANIN MİRAS OLARAK GERİDE KALANLARA BIRAKTIĞI ACI VE KEDER DOLU MÜEBBET HAPİS CEZASIDIR. .....,intihara meyilli
zan sesleri duyulmaya başladığında anladım ne kadar geç kaldığımı her şeye.,intihara meyilli
Annemle babam küçükken hep kavga ederlerdi cam çerçeve inerdi biraz büyüdüm ayrıldılar en çok anne ihtiyacım olduğunda yoktu hep gider gelirdim İzmir-Fethiye arası çocukluğum o yolda geçti 5 ay sonra askerim dedim ki annem oğlu olduğunu bilsin gideyim onun yanında kalayım gittim 2-3 ay kaldıktan sonra git demeye başladı o dönem fethiye'de bir kıza aşık oldum kız da bana karşı boş değil tabi annemle kavga gürültü derken aşık olduğum kız evim gibi oldu gözlerinin içine baktığımda evime varmış gibi hissediyodum şimdi İzmir'deyim ne anam var ne sevdiğim kız anam istediği hayatı yaşıyor aşık olduğum kızın 2 senelik düzenli ilişkisi var. Çok az kaldı kavuşacağız Yüce Rabbim Ölümsüz Bakmayın adımın öyle olduğuna düşüncem ve ruhum çoktan uçup gitti şuan sadece bedenim kalmış şu s!**k dünyada,intihara meyilli
Bir gün bende mutlu olacağım. Buna inanıyorum. Umarım umudum bitmeden gerçekleşir yoksa fazla gücüm kalmadı...,intihara meyilli
Hayattan usanmış İnsanın ailesi sevmedikten sonra dünyalar onu sevse ne yazar nasılsa sevilmeyi bilmiyor,intihara meyilli
Elim azraille uzanmış...,intihara meyilli
"Korktuğum şey, intihar etmemi gerektirecek bir olay yaşadığımda bile intihar edecek kadar cesareti kendi bünyemde bulamamak.",intihara meyilli
Kanatsız Gece balkonda otururken artık hiçbir şeye ve hiç kimseye inancım kalmadığını farketim,intihara meyilli
"İnsanlara gelecek hedefin ne diye sorduklarında güzel bi uni güzel bi iş güzel bi evlilik diyolar bana sorduklarında intihar diyom İNTİHAR BİR ! Yapamayacağımdan değil de Allah'tan korkuyorum ! Aslında tek istediğim birşeylerin değişmesi birşeyler ben ölünce değişeceğini düşünmek intihara sürüklüyo beni doktora gözükmeliyim belki belki ilaçlar kullanmalıyım tonla ama geçmeyecek birşey için vucüduma giren haplar sadece anlık düşünce değiştirir oysa ben kesin çözüm olarak görüyorum Diyorum ya kesin çözüm herşeyin ben öldükten sonra değişmesi birilerinin benim yüzümden demesi gerek suçlayıp kendini ben sebep oldum dese yeter . Hala intihar etmekten vazgeçmiş değilim ... Önemsiz Hayata geliyoruz, hep acı çekiyoruz yada çekiyorum, sevdiklerimden uzak, nefret ettiklerime yakın, acı çeksem de, çekmesem de öleceğiz. Ne olacağımız belli bile değil hiç bir şey kessin değil. O zaman neden hemen ölmyelim Hayattan bıkan Bazı şeyler çok ağrıma gidiyor ama bı ihtimal var oda i***ar etmektir daha fazla kaldıramıyorum bıktım artık 😭😭😭💔💔💔",intihara meyilli
Düşüncelerimi intihar ettim. Şimdi sıra bedenimde..,intihara meyilli
Türkiye hiçbir gencin yararını hak etmiyor ve ben artık kafamdaki sesleri bastıramıyorum,intihara meyilli
Bu hayatı güzel mutlu yaşayamayacaksak neden yaşıyoruz,intihara meyilli
Onu tanıdığım gün trenın altında kalsaydımda kafam kopsaydı keşke.,intihara meyilli
Zaten bir gram ömrüm vardı onuda çok gördüler İntihar kurtuluş deyil. Beni bu sayfaya getirenlerin Allah belasını versin hayyatan bıktım yeter artık intihar bir çözüm olsaydı bunu çoktan yapardım ama deyil. Çok sevdim Şimdi dünya ya elveda,intihara meyilli
Yaşımla yaşadıklarım hic adaletli değil...,intihara meyilli
Yıldızlara acımı yükledim... Hep mi fazlalardı yoksa acıma layık olmak için mi fazlalaştılar? Hayat boş. Çok üzdü çok kırdı,intihara meyilli
Hakkınızı helal edin,intihara meyilli
Ve bende birini mutlu etmek yerine mutsuz etseydim işte ozaman sevilirdim ama çok geç kurtuluyorum herşeyden :),intihara meyilli
Hayat dediğin acıdan başka birşey değil,intihara meyilli
Ben artık çok yorgunum bu gün günlerden o gün...,intihara meyilli
GECE İÇİN YARATILMIŞ Bİ KIZ GALİBA YAVAŞ YAVAŞ ÖLÜYÖRUM,intihara meyilli
bi kafamı dağıtayım dedim...,intihara meyilli
Her düşünce Beyninde bir İNTİHAR,intihara meyilli
Gayeler ve gerçekler,intihara meyilli
Uyuduğunda bu gece erken yatacağım deyip uyumadan sabah edenlerdenim,intihara meyilli
"Bir bakmışsın tüm çektiklerin bitmiş rahata ermişsin. Ama bir de bakmışsın ki düşlere dalıp gitmişsin. Bu zamana kadar çektiğim acıları kimseye çektirmedim, insanlar kadar zalim ve kötü mahlûk yok. İnsan olduğum için o kadar utanıyorum ki... Bazen intihar etmeden de ölebiliyor insan, ruhun bedenden çıkmasına gerek yok, gözlerin kapanmasına gerek yok. Allah' a emanet olun hiçkimse için çabalamayın hiçbirşey sizden değerli değil. Bunu ben yapamadım kendime değer veremedim hep başkasını düşündüm... Bu sitedeki herkes çok temiz kalpli insanlar ruhunuz şad olsun mekanımız cennet olsun orda mutlu olma dileğiyle... Belki konuşmak isterseniz",intihara meyilli
sadece 1 hafta sonra gidiyorum.,intihara meyilli
"hep canım acıdı, yandı,her gece öldüm ama kimsede gelip nasılsın demedi ölü boşverin ben her gece tekrar tekrar ölmekten sıkılmıştım şimdi rahatım çünkü öldüm yok olmuş yok oluşum aslında doğuşumdu siz öyle sandınız",intihara meyilli
Neden herkes bu kadar üzgün? Neden herkes ölmek istiyor? Neden herkes gizli gizli ağlıyor?....,intihara meyilli
Hayatın gülmediklerinden bir tanesi sadece Bu hayatta yaşamaya değer bir şey mi yoktu yoksa yaşamaya değer çok şey vardı da bizim hakkımız mı yoktu?,intihara meyilli
Belki hayatıma son veren bendim ama herşey senin için bitti psikolojisine sokan da sizdiniz suçlu aramaya gerek yok tek suçlu hala masum duygularımın ölmesi için cinayete kurban girmelerini bekleyen aptal beynimdeydi hala seven kalbime ömür veren bendeydi,intihara meyilli
